cid	name	formula	weight	xlogp	rotb	hb_donor	hb_aceptor	heavy_atom	synonym	iso_smile	inchi
47296	4-[2-[[4,6-bis(dimethylamino)-1,3,5-triazin-2-yl]methylamino]ethoxy]-4-oxobutanoic acid	C14H24N6O4	340.384	-2.7	11	2	10	24	2-((4,6-Bis(diethylamino)-s-triazin-2-yl)methylamino)ethanol succinate (1:1)	CN(C)C1=NC(=NC(=N1)CNCCOC(=O)CCC(=O)O)N(C)C	InChI=1S/C14H24N6O4/c1-19(2)13-16-10(17-14(18-13)20(3)4)9-15-7-8-24-12(23)6-5-11(21)22/h15H,5-9H2,1-4H3,(H,21,22)
47292	1-(4-aminophenyl)-2,4-dihydro-1H-isoquinolin-3-one	C15H14N2O	238.29	1.7	1	2	2	18	54087-54-6	C1C2=CC=CC=C2C(NC1=O)C3=CC=C(C=C3)N	InChI=1S/C15H14N2O/c16-12-7-5-10(6-8-12)15-13-4-2-1-3-11(13)9-14(18)17-15/h1-8,15H,9,16H2,(H,17,18)
47167	1-(1,1,2,3,3,6-hexamethyl-2H-inden-5-yl)ethanone	C17H24O	244.378	4.8	1	0	1	18	Phantolid	CC1C(C2=C(C1(C)C)C=C(C(=C2)C)C(=O)C)(C)C	InChI=1S/C17H24O/c1-10-8-14-15(9-13(10)11(2)18)17(6,7)12(3)16(14,4)5/h8-9,12H,1-7H3
44643	benzyl-[2-[2-[benzyl(dimethyl)azaniumyl]ethoxy]ethyl]-dimethylazanium;dichloride	C22H34Cl2N2O	413.427	None	10	0	3	27	AS-3508	C[N+](C)(CCOCC[N+](C)(C)CC1=CC=CC=C1)CC2=CC=CC=C2.[Cl-].[Cl-]	InChI=1S/C22H34N2O.2ClH/c1-23(2,19-21-11-7-5-8-12-21)15-17-25-18-16-24(3,4)20-22-13-9-6-10-14-22;;/h5-14H,15-20H2,1-4H3;2*1H/q+2;;/p-2
44581	4-amino-N-(1-benzylpiperidin-4-yl)benzamide	C19H23N3O	309.413	2.6	4	2	3	23	4-amino-N-(1-benzylpiperidin-4-yl)benzamide	C1CN(CCC1NC(=O)C2=CC=C(C=C2)N)CC3=CC=CC=C3	InChI=1S/C19H23N3O/c20-17-8-6-16(7-9-17)19(23)21-18-10-12-22(13-11-18)14-15-4-2-1-3-5-15/h1-9,18H,10-14,20H2,(H,21,23)
44493	1-(4-hydroxy-3-methoxyphenyl)-3-(5-nitrofuran-2-yl)prop-2-en-1-one	C14H11NO6	289.243	2.6	4	1	6	21		COC1=C(C=CC(=C1)C(=O)C=CC2=CC=C(O2)[N+](=O)[O-])O	InChI=1S/C14H11NO6/c1-20-13-8-9(2-5-12(13)17)11(16)6-3-10-4-7-14(21-10)15(18)19/h2-8,17H,1H3
43938	5-methoxy-1-methyl-7-nitro-5-phenyl-1,4-benzodiazepin-2-one	C17H15N3O4	325.324	2.1	2	0	5	24	BRN 0764052	CN1C2=C(C=C(C=C2)[N+](=O)[O-])C(N=CC1=O)(C3=CC=CC=C3)OC	InChI=1S/C17H15N3O4/c1-19-15-9-8-13(20(22)23)10-14(15)17(24-2,18-11-16(19)21)12-6-4-3-5-7-12/h3-11H,1-2H3
42423	3-[(4-chlorophenyl)methyl]-6,7-dimethoxy-3,4-dihydroisoquinoline	C18H18ClNO2	315.797	3.9	4	0	3	22	3-(4-chlorobenzyl)-6,7-dimethoxy-3,4-dihydroisoquinoline	COC1=C(C=C2C=NC(CC2=C1)CC3=CC=C(C=C3)Cl)OC	InChI=1S/C18H18ClNO2/c1-21-17-9-13-8-16(7-12-3-5-15(19)6-4-12)20-11-14(13)10-18(17)22-2/h3-6,9-11,16H,7-8H2,1-2H3
42219	4-bromo-N-[3-[4-[2-(diethylamino)ethoxy]phenyl]-1-(dipropylamino)-1-oxopropan-2-yl]benzamide	C28H40BrN3O3	546.55	5.9	15	1	4	35	CR 631	CCCN(CCC)C(=O)C(CC1=CC=C(C=C1)OCCN(CC)CC)NC(=O)C2=CC=C(C=C2)Br	InChI=1S/C28H40BrN3O3/c1-5-17-32(18-6-2)28(34)26(30-27(33)23-11-13-24(29)14-12-23)21-22-9-15-25(16-10-22)35-20-19-31(7-3)8-4/h9-16,26H,5-8,17-21H2,1-4H3,(H,30,33)
40701	2-[2-(6,6-dimethyl-4-bicyclo[3.1.1]heptanyl)ethoxy]ethyl-diethyl-methylazanium;iodide	C18H36INO	409.396	None	8	0	2	21	1694, Norpinane	CC[N+](C)(CC)CCOCCC1CCC2CC1C2(C)C.[I-]	InChI=1S/C18H36NO.HI/c1-6-19(5,7-2)11-13-20-12-10-15-8-9-16-14-17(15)18(16,3)4;/h15-17H,6-14H2,1-5H3;1H/q+1;/p-1
40694	ethyl 2-[3-(diethylamino)-2-hydroxypropoxy]-6-methyl-3-propan-2-ylbenzoate	C20H33NO4	351.487	3.8	11	1	5	25		CCN(CC)CC(COC1=C(C=CC(=C1C(=O)OCC)C)C(C)C)O	InChI=1S/C20H33NO4/c1-7-21(8-2)12-16(22)13-25-19-17(14(4)5)11-10-15(6)18(19)20(23)24-9-3/h10-11,14,16,22H,7-9,12-13H2,1-6H3
40111	[(2S,3S,5S,8R,9S,10S,13S,14S)-2-hydroxy-10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl]azanium;chloride	C19H32ClNO2	341.92	None	0	2	3	23	Aminosteroid	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)[NH3+])O)C.[Cl-]	InChI=1S/C19H31NO2.ClH/c1-18-8-7-14-12(13(18)5-6-17(18)22)4-3-11-9-15(20)16(21)10-19(11,14)2;/h11-16,21H,3-10,20H2,1-2H3;1H/t11-,12-,13-,14-,15-,16-,18-,19-;/m0./s1
37752	2-[(8-chloro-3,4-dihydro-2H-1-benzoxepin-5-ylidene)amino]oxyethyl-dimethylazanium;chloride	C14H20Cl2N2O2	319.226	None	4	1	4	20		C[NH+](C)CCON=C1CCCOC2=C1C=CC(=C2)Cl.[Cl-]	InChI=1S/C14H19ClN2O2.ClH/c1-17(2)7-9-19-16-13-4-3-8-18-14-10-11(15)5-6-12(13)14;/h5-6,10H,3-4,7-9H2,1-2H3;1H
36690	2-(dimethylamino)ethyl 11-hydroxy-5,6-dihydrobenzo[1,2]cyclohepta[3,4-b]pyridine-11-carboxylate	C19H22N2O3	326.396	1.9	5	1	5	24	BRN 0443539	CN(C)CCOC(=O)C1(C2=C(CCC3=CC=CC=C31)N=CC=C2)O	InChI=1S/C19H22N2O3/c1-21(2)12-13-24-18(22)19(23)15-7-4-3-6-14(15)9-10-17-16(19)8-5-11-20-17/h3-8,11,23H,9-10,12-13H2,1-2H3
35152	2-(chloromethyl)-4,6-bis(trichloromethyl)-1,3,5-triazine	C6H2Cl7N3	364.253	3.7	1	0	3	16	30361-97-8	C(C1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl)Cl	InChI=1S/C6H2Cl7N3/c7-1-2-14-3(5(8,9)10)16-4(15-2)6(11,12)13/h1H2
35001	4-chloro-N'-(4,6-dichloro-1,3,5-triazin-2-yl)benzenesulfonohydrazide	C9H6Cl3N5O2S	354.59	3.7	4	2	7	20	AC1L1SS6	C1=CC(=CC=C1S(=O)(=O)NNC2=NC(=NC(=N2)Cl)Cl)Cl	InChI=1S/C9H6Cl3N5O2S/c10-5-1-3-6(4-2-5)20(18,19)17-16-9-14-7(11)13-8(12)15-9/h1-4,17H,(H,13,14,15,16)
32620	N-ethyl-4-(2-methylpropyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine	C10H15Cl3N4	297.608	3.9	4	1	4	17	N-ethyl-4-(2-methylpropyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine	CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)CC(C)C	InChI=1S/C10H15Cl3N4/c1-4-14-9-16-7(5-6(2)3)15-8(17-9)10(11,12)13/h6H,4-5H2,1-3H3,(H,14,15,16,17)
29904	2,3-dihydro-1-benzofuran-2-ylmethylazanium;chloride	C9H12ClNO	185.651	None	1	1	2	12	2,3-Dihydro-2-benzofuranmethylamine hydrochloride	C1C(OC2=CC=CC=C21)C[NH3+].[Cl-]	InChI=1S/C9H11NO.ClH/c10-6-8-5-7-3-1-2-4-9(7)11-8;/h1-4,8H,5-6,10H2;1H
29600	2-piperidin-1-ylethyl N-(2-phenoxyphenyl)carbamate	C20H24N2O3	340.423	3.7	7	1	4	25	AC1L1HSH	C1CCN(CC1)CCOC(=O)NC2=CC=CC=C2OC3=CC=CC=C3	InChI=1S/C20H24N2O3/c23-20(24-16-15-22-13-7-2-8-14-22)21-18-11-5-6-12-19(18)25-17-9-3-1-4-10-17/h1,3-6,9-12H,2,7-8,13-16H2,(H,21,23)
29329	None	C21H25NO	307.437	4	5	0	2	23	AC1L1H81	CN(C)CCOCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24	InChI=1S/C21H25NO/c1-22(2)13-14-23-15-21-12-11-16(17-7-3-5-9-19(17)21)18-8-4-6-10-20(18)21/h3-10,16H,11-15H2,1-2H3
28666	N-(3-bromophenyl)-2-iodoacetamide	C8H7BrINO	339.958	3	2	1	1	12	3'-Bromo-2-iodoacetanilide	C1=CC(=CC(=C1)Br)NC(=O)CI	InChI=1S/C8H7BrINO/c9-6-2-1-3-7(4-6)11-8(12)5-10/h1-4H,5H2,(H,11,12)
28033	ethyl N-[(ethoxycarbonylamino)-(methoxycarbamoylamino)phosphanyl]carbamate	C8H17N4O6P	296.22	-0.1	8	4	6	19	ethyl N-[(ethoxycarbonylamino)-(methoxycarbamoylamino)phosphanyl]carbamate	CCOC(=O)NP(NC(=O)NOC)NC(=O)OCC	InChI=1S/C8H17N4O6P/c1-4-17-7(14)11-19(10-6(13)9-16-3)12-8(15)18-5-2/h4-5H2,1-3H3,(H,11,14)(H,12,15)(H2,9,10,13)
27983	3-(3,8-difluoro-6H-benzo[c][1]benzothiepin-11-ylidene)propyl-dimethylazanium;4-hydroxy-4-oxobut-2-enoate	C23H23F2NO4S	447.497	None	4	2	7	31		C[NH+](C)CCC=C1C2=C(CSC3=C1C=CC(=C3)F)C=C(C=C2)F.C(=CC(=O)[O-])C(=O)O	InChI=1S/C19H19F2NS.C4H4O4/c1-22(2)9-3-4-17-16-7-5-14(20)10-13(16)12-23-19-11-15(21)6-8-18(17)19;5-3(6)1-2-4(7)8/h4-8,10-11H,3,9,12H2,1-2H3;1-2H,(H,5,6)(H,7,8)
27982	2-chloroethylphosphonic acid	C2H6ClO3P	144.491	-1	2	2	3	7	ETHEPHON	C(CCl)P(=O)(O)O	InChI=1S/C2H6ClO3P/c3-1-2-7(4,5)6/h1-2H2,(H2,4,5,6)
27955	1-(2-methylphenyl)propan-2-ylhydrazine	C10H16N2	164.252	1.8	3	2	2	12	1-(2-methylphenyl)propan-2-ylhydrazine	CC1=CC=CC=C1CC(C)NN	InChI=1S/C10H16N2/c1-8-5-3-4-6-10(8)7-9(2)12-11/h3-6,9,12H,7,11H2,1-2H3
27856	dimethyl-[3-(8-nitro-6-oxobenzo[b][1,4]benzoxazepin-5-yl)propyl]azanium;chloride	C18H20ClN3O4	377.825	None	4	1	5	26	Sintamil	C[NH+](C)CCCN1C2=CC=CC=C2OC3=C(C1=O)C=C(C=C3)[N+](=O)[O-].[Cl-]	InChI=1S/C18H19N3O4.ClH/c1-19(2)10-5-11-20-15-6-3-4-7-17(15)25-16-9-8-13(21(23)24)12-14(16)18(20)22;/h3-4,6-9,12H,5,10-11H2,1-2H3;1H
27593	3-methyl-N-(4-nitrophenyl)aniline	C13H12N2O2	228.251	4	2	1	3	17	3-METHYL-N-(4-NITROPHENYL)BENZENAMINE	CC1=CC(=CC=C1)NC2=CC=C(C=C2)[N+](=O)[O-]	InChI=1S/C13H12N2O2/c1-10-3-2-4-12(9-10)14-11-5-7-13(8-6-11)15(16)17/h2-9,14H,1H3
27581	(2-chlorophenyl)methyl-[2-[[4-[2-[(2-chlorophenyl)methyl-diethylazaniumyl]ethylamino]-4-oxobutanoyl]amino]ethyl]-diethylazanium	C30H46Cl2N4O2+2	565.624	4.5	17	2	2	38	AC1L1DJD	CC[N+](CC)(CCNC(=O)CCC(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl	InChI=1S/C30H44Cl2N4O2/c1-5-35(6-2,23-25-13-9-11-15-27(25)31)21-19-33-29(37)17-18-30(38)34-20-22-36(7-3,8-4)24-26-14-10-12-16-28(26)32/h9-16H,5-8,17-24H2,1-4H3/p+2
27320	2-[2-[(2-chloro-6,11-dihydro-5H-dibenzo[1,3-e:1',2'-f][7]annulen-11-yl)oxy]ethoxy]ethyl-dimethylazanium;2-hydroxy-2-oxoacetate	C23H28ClNO6	449.928	None	7	2	6	31	AC1L1CYY	C[NH+](C)CCOCCOC1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.C(=O)(C(=O)[O-])O	InChI=1S/C21H26ClNO2.C2H2O4/c1-23(2)11-12-24-13-14-25-21-19-6-4-3-5-16(19)7-8-17-9-10-18(22)15-20(17)21;3-1(4)2(5)6/h3-6,9-10,15,21H,7-8,11-14H2,1-2H3;(H,3,4)(H,5,6)
27270	N'-(2-chlorophenyl)-2-ethyl-2-hydroxybutanehydrazide	C12H17ClN2O2	256.73	3.6	5	3	3	17	o-Chlorophenylhydrazide of diethylglycolic acid	CCC(CC)(C(=O)NNC1=CC=CC=C1Cl)O	InChI=1S/C12H17ClN2O2/c1-3-12(17,4-2)11(16)15-14-10-8-6-5-7-9(10)13/h5-8,14,17H,3-4H2,1-2H3,(H,15,16)
27263	(2R,3R)-1,4-dibromobutane-2,3-diol	C4H8Br2O2	247.914	0.5	3	2	2	8	Dibromo-L-(+)-threitol	C([C@@H]([C@H](CBr)O)O)Br	InChI=1S/C4H8Br2O2/c5-1-3(7)4(8)2-6/h3-4,7-8H,1-2H2/t3-,4-/m0/s1
27218	[4-(2-ethylbutoxy)-3-methoxyphenyl]azanium;bromide	C13H22BrNO2	304.228	None	6	1	3	17	M & B 5420	CCC(CC)COC1=C(C=C(C=C1)[NH3+])OC.[Br-]	InChI=1S/C13H21NO2.BrH/c1-4-10(5-2)9-16-12-7-6-11(14)8-13(12)15-3;/h6-8,10H,4-5,9,14H2,1-3H3;1H
27205	4b,8,8-trimethyl-5,6,7,8a,9,10-hexahydrophenanthren-3-ol	C17H24O	244.378	5.6	0	1	1	18	PODOCARPA-8,11,13-TRIEN-12-OL	CC1(CCCC2(C1CCC3=C2C=C(C=C3)O)C)C	InChI=1S/C17H24O/c1-16(2)9-4-10-17(3)14-11-13(18)7-5-12(14)6-8-15(16)17/h5,7,11,15,18H,4,6,8-10H2,1-3H3
27200	2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-methylsulfonylphenyl)propan-2-yl]acetamide	C12H15Cl2NO5S	356.214	-0.3	6	3	5	21	thiamphenicol	CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O	InChI=1S/C12H15Cl2NO5S/c1-21(19,20)8-4-2-7(3-5-8)10(17)9(6-16)15-12(18)11(13)14/h2-5,9-11,16-17H,6H2,1H3,(H,15,18)/t9-,10-/m1/s1
27195	2-iodo-N-phenylbenzamide	C13H10INO	323.133	2.8	2	1	1	16	Benodanil	C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I	InChI=1S/C13H10INO/c14-12-9-5-4-8-11(12)13(16)15-10-6-2-1-3-7-10/h1-9H,(H,15,16)
27131	diberyllium;silicate	Be2O4Si	110.105	None	0	0	4	7	Beryllium silicate	[Be+2].[Be+2].[O-][Si]([O-])([O-])[O-]	InChI=1S/2Be.O4Si/c;;1-5(2,3)4/q2*+2;-4
27052	arsenic acid	AsHO3	123.927	None	0	1	3	4	AC1L1CE2	O[As](=O)=O	InChI=1S/AsHO3/c2-1(3)4/h(H,2,3,4)
27047	2,5-dinitro-9H-fluorene	C13H8N2O4	256.217	3.2	0	0	4	19	2,5-Dinitrofluorene	C1C2=C(C3=C1C=C(C=C3)[N+](=O)[O-])C(=CC=C2)[N+](=O)[O-]	InChI=1S/C13H8N2O4/c16-14(17)10-4-5-11-9(7-10)6-8-2-1-3-12(13(8)11)15(18)19/h1-5,7H,6H2
26974	None	C29H37NO5	479.617	3.4	2	3	5	35		C[C@@H]1CCC[C@H](C=CC(=O)O[C@]23[C@@H](C=CC1)[C@@H](C(=C)[C@H](C2C(NC3=O)CC4=CC=CC=C4)C)O)O	InChI=1S/C29H37NO5/c1-18-9-7-13-22(31)15-16-25(32)35-29-23(14-8-10-18)27(33)20(3)19(2)26(29)24(30-28(29)34)17-21-11-5-4-6-12-21/h4-6,8,11-12,14-16,18-19,22-24,26-27,31,33H,3,7,9-10,13,17H2,1-2H3,(H,30,34)/t18-,19-,22-,23+,24?,26?,27-,29-/m1/s1
26918	1-[[5-(3,4-dichlorophenyl)furan-2-yl]methylideneamino]imidazolidine-2,4-dione	C14H9Cl2N3O3	338.144	3.1	3	1	4	22	68095-04-5	C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC(=C(C=C3)Cl)Cl	InChI=1S/C14H9Cl2N3O3/c15-10-3-1-8(5-11(10)16)12-4-2-9(22-12)6-17-19-7-13(20)18-14(19)21/h1-6H,7H2,(H,18,20,21)
26908	2-(4-tert-butylphenyl)-2-[2-(dimethylamino)ethyl]-3-methylbutanenitrile	C19H30N2	286.463	4.8	6	0	2	21	BRN 2135103	CC(C)C(CCN(C)C)(C#N)C1=CC=C(C=C1)C(C)(C)C	InChI=1S/C19H30N2/c1-15(2)19(14-20,12-13-21(6)7)17-10-8-16(9-11-17)18(3,4)5/h8-11,15H,12-13H2,1-7H3
26889	5-methyl-1,3-benzothiazol-2-amine	C8H8N2S	164.226	2.4	0	1	3	11	2-Amino-5-methylbenzothiazole	CC1=CC2=C(C=C1)SC(=N2)N	InChI=1S/C8H8N2S/c1-5-2-3-7-6(4-5)10-8(9)11-7/h2-4H,1H3,(H2,9,10)
26864	5-[(4-chlorophenyl)methylidene]-3-methylimidazolidine-2,4-dione	C11H9ClN2O2	236.655	1.9	1	1	2	16	AC1L1C1N	CN1C(=O)C(=CC2=CC=C(C=C2)Cl)NC1=O	InChI=1S/C11H9ClN2O2/c1-14-10(15)9(13-11(14)16)6-7-2-4-8(12)5-3-7/h2-6H,1H3,(H,13,16)
26797	1-(2-benzoylpyrrol-1-yl)-4-morpholin-4-ylbutan-2-one	C19H22N2O3	326.396	1.8	7	0	4	24	AC1L1BWQ	C1COCCN1CCC(=O)CN2C=CC=C2C(=O)C3=CC=CC=C3	InChI=1S/C19H22N2O3/c22-17(8-10-20-11-13-24-14-12-20)15-21-9-4-7-18(21)19(23)16-5-2-1-3-6-16/h1-7,9H,8,10-15H2
26792	2,3-dihydroxybutanedioic acid;4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol	C15H23NO9	361.347	None	7	8	10	25	d-Isoproterenol bitartrate	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O	InChI=1S/C11H17NO3.C4H6O6/c1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8;5-1(3(7)8)2(6)4(9)10/h3-5,7,11-15H,6H2,1-2H3;1-2,5-6H,(H,7,8)(H,9,10)
26781	2-[(5-chloro-1,3-benzoxazol-2-yl)sulfanyl]ethyl-diethylazanium;chloride	C13H18Cl2N2OS	321.26	None	6	1	4	19	5-Chloro-2-((2-(diethylamino)ethyl)thio)benzoxazole hydrochloride	CC[NH+](CC)CCSC1=NC2=C(O1)C=CC(=C2)Cl.[Cl-]	InChI=1S/C13H17ClN2OS.ClH/c1-3-16(4-2)7-8-18-13-15-11-9-10(14)5-6-12(11)17-13;/h5-6,9H,3-4,7-8H2,1-2H3;1H
26773	3-methyl-2-[5-(3-methyl-6-nitro-1,3-benzothiazol-3-ium-2-yl)penta-2,4-dienylidene]-6-nitro-1,3-benzothiazole;iodide	C21H17IN4O4S2	580.415	None	3	0	8	32		CN1C2=C(C=C(C=C2)[N+](=O)[O-])SC1=CC=CC=CC3=[N+](C4=C(S3)C=C(C=C4)[N+](=O)[O-])C.[I-]	InChI=1S/C21H17N4O4S2.HI/c1-22-16-10-8-14(24(26)27)12-18(16)30-20(22)6-4-3-5-7-21-23(2)17-11-9-15(25(28)29)13-19(17)31-21;/h3-13H,1-2H3;1H/q+1;/p-1
26727	1-(3,4-dimethylphenyl)propan-2-amine	C11H17N	163.264	2.4	2	1	1	12	Xylopropamine	CC1=C(C=C(C=C1)CC(C)N)C	InChI=1S/C11H17N/c1-8-4-5-11(6-9(8)2)7-10(3)12/h4-6,10H,7,12H2,1-3H3
26697	heptadeca-1,10-dien-5,7-diyn-3-ol	C17H24O	244.378	5.2	9	1	1	18		CCCCCCC=CCC#CC#CCC(C=C)O	InChI=1S/C17H24O/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17(18)4-2/h4,9-10,17-18H,2-3,5-8,11,16H2,1H3
26689	ethyl 2-(4-chlorophenoxy)acetate	C10H11ClO3	214.645	2.9	5	0	3	14	ethyl 2-(4-chlorophenoxy)acetate	CCOC(=O)COC1=CC=C(C=C1)Cl	InChI=1S/C10H11ClO3/c1-2-13-10(12)7-14-9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3
26684	1-[2-(2-fluorobenzoyl)pyrrol-1-yl]propan-2-yl-dimethylazanium;chloride	C16H20ClFN2O	310.797	None	5	1	3	21	1-(2-(Dimethylamino)propyl)-2-(o-fluorobenzoyl)pyrrole monohydrochloride	CC(CN1C=CC=C1C(=O)C2=CC=CC=C2F)[NH+](C)C.[Cl-]	InChI=1S/C16H19FN2O.ClH/c1-12(18(2)3)11-19-10-6-9-15(19)16(20)13-7-4-5-8-14(13)17;/h4-10,12H,11H2,1-3H3;1H
26645	(2-chloro-4,5-dimethylphenyl) N-(hydroxymethyl)carbamate	C10H12ClNO3	229.66	2.3	3	2	3	15	(Hydroxymethyl)carbamic acid 6-chloro-3,4-xylyl ester	CC1=CC(=C(C=C1C)Cl)OC(=O)NCO	InChI=1S/C10H12ClNO3/c1-6-3-8(11)9(4-7(6)2)15-10(14)12-5-13/h3-4,13H,5H2,1-2H3,(H,12,14)
26564	None	C20H23FNO+	312.408	2.9	5	0	2	23	AC1L1BEL	C1CC2C=CC1C3C2C=[N+](C3)CCCC(=O)C4=CC=C(C=C4)F	InChI=1S/C20H23FNO/c21-17-9-7-16(8-10-17)20(23)2-1-11-22-12-18-14-3-4-15(6-5-14)19(18)13-22/h3-4,7-10,12,14-15,18-19H,1-2,5-6,11,13H2/q+1
26529	ethyl hydrogen sulfate;morpholine	C6H15NO5S	213.248	None	2	2	6	13	AC1L1BBO	CCOS(=O)(=O)O.C1COCCN1	InChI=1S/C4H9NO.C2H6O4S/c1-3-6-4-2-5-1;1-2-6-7(3,4)5/h5H,1-4H2;2H2,1H3,(H,3,4,5)
